"ID","errors"
"6058b60fff48cb32ebd95e99",7
"60ff2ae3af70df62d3408644",0
"55d5b307cfc2f400054583d1",0
"5d8c46cc53b833001a4bf916",4
"61109d5c89a3192534ae2e65",0
"614d2d7401f5e91254949ebf",2
"6081dada045150a0244f6534",0
"6112dba8e2eb90519a46e6cf",8
"60b8e0ed0524f574caac62ce",2
"62782e213f848ecda91a275a",6
"59014ee029f42300013cc5b7",5
"60a17df4d93b81310ff230a5",0
"5bc151ece6491a00013a21f3",4
"61006f3c396dd596eb7c555e",5
"5f7adf44d2ddfa74d5019c3d",3
"5aa2ac74873cda00010d4bd2",4
"5a28bf2b8766a40001900b24",2
"5ad0f1934d061300011b0a4d",1
"561c4dc1811d220005f31d9b",0
"60fd60e7587e4f2e860338b4",9
"5d649652adc4e8001a2d258d",5
"60461ebcb6a36e04513f1ee9",1
"611391cf9c88ab6888baa6c2",0
"5c8ec999bb6a3c00014acf5f",2
"5d86c00ef6b20e0015e20b0c",0
"60928b55a027ee7893ed76e5",0
"5d3c88c00e510a00013df5f1",6
"568e7144e3ef9e000da20149",4
"5eb074c7e612c1129942044c",8
"5f7058deeb83ab60bb836eae",3
"627e807715abf2361938fd68",3
"5e445469951000017c34358e",11
"5bbc0004ac45e6000131d380",3
"59306fc35f170a00014358da",12
"55a43278fdf99b02ff6caf89",1
"61047937db4de7f14948ef08",1
"5e3e54f69e51f80b67c1cc06",6
"5f35742998f31a13a1582100",4
"6077a808b8d8534a901e5d78",4
"614fa2d8176b0317b451cd0f",1
"6138f7e0ad42e592ca5f2024",5
"60fdc934e81b93f92f561d76",3
"6137da4ec348d1070e20fd85",1
"6132cc931d18eb3ce734accf",0
"5a0071766e1ea9000124db35",5
"5c7c3c7b896a0b00171c2302",5
"5ec4b10f7e31c83a4d915cf6",10
"5f4c8469ad5ee688eff8cb4b",0
"5a78dbb9ae9a0b0001a97212",1
"5fd6b6fbbf40a261f6bc3056",0
"5920b1f62b529b00013f3214",1
"5c376ea0eecc440001c58889",5
"6123ffd66668fe39928e28b0",1
"5bf735882dd20c0001317fca",0
"5e9f70a9eec34b1108c84413",4
"5e574010f269721002764a53",1
"5eacb9950c7a9532645a3dca",2
"600fa796b9d3f71a82758e29",4
"5b5a822e1ad8270001c4f28d",6
"5c55b95b91c0ad0001cf86ab",0
"5f525cd7d4ac644f3330116c",0
"5b6c72f29dc5550001f8a514",1
"614c86f68018ec28d1550e76",1
"5dd733ca946f7c6e031bb8a3",9
"5ddd1dd2b48da3c63a3ccdbb",11
"588908498fd7f00001d735f8",0
"5e84bd7c34d5d9072128fac1",2
"5fa4f94e535f3b1aa628e0ab",0
"57a48845eeaf6d00018d62d7",9
"5facc4201f33582f15dcf9bf",4
"60fdba29b052ac0601a52873",2
"6088b3cf23219414fe76b733",4
"5dc88a6643755e5f227e0488",0
"60802a95c01e5c25daf8dd85",5
"6079fd1b7a4fba956ebbffe7",1
"5d953133a3dc06001b78935b",0
"610080abe16d6878da9cea01",5
"610079904dbc454e2e98de9f",3
"5ae59f8cc3c3ab00018f7185",2
"5d58cb946c04b200161ecf9b",2
"5a198755f2e3460001edc5c9",4
"611a1b05104423c73d386b55",3
"60fdea4987e386fb2738b8b5",0
"610b5d5320ea67cf50ec0445",3
"5f9df5f72aca47392dc49b65",5
"5b066e00f58f8400018b0906",1
"60fa3bc910b0638576512002",10
"5e0f443e8205266652153f5e",0
"60c3d124a3f6a934bbbb3292",1
"5f4dbfdf75b52598a859b99d",0
"5c2f7a01c5b00a0001f3e52f",7
"61112f7418ea8ffb1deb420d",0
"617372f2d708eb69eccac9bf",0
"60fce156003127285462a3bb",2
